id,release_time,position
0,60,26.89949546566046
1,67,66.6410471124838
2,18,38.164102294192034
3,47,48.253881390428646
4,82,81.03480522350837
5,88,86.43445417393522
6,29,55.819004775334804
7,84,62.42328818537503
8,56,36.76553604175695
9,43,90.59729815293225
10,7,57.62145803780862
11,25,7.460963363587747
12,87,81.92498709037869
13,87,40.46142831286491
14,11,1.8604300312002775
15,7,81.96536743270877
16,84,50.89259164277015
17,11,98.9451929831013
18,54,94.67130187432706
19,14,66.08645649493232
20,17,53.94906499426118
21,79,55.81651714706728
22,89,88.55749894034363
23,71,17.121409257685883
24,10,40.05186975556537
25,53,66.81489318309052
26,60,47.67682448722154
27,49,54.11491619832395
28,82,72.632742734748
29,24,97.63037695534933
30,84,26.156373587507886
31,46,86.61318249263947
32,49,67.37728216491834
33,14,25.237769063541606
34,42,36.332237997104244
35,65,57.322975851675174
36,97,50.00121234313284
37,3,38.0915282834825
38,55,3.2714780561605816
39,3,22.216795143227543
40,54,4.348347625319748
41,26,77.1918577010098
42,13,75.32957088200104
43,28,17.804952768967286
44,89,27.378696975742344
45,55,27.65476293735186
46,44,60.20678105721595
47,92,5.205881978584803
48,58,36.830555803174846
49,43,28.18957973691134
50,60,69.69477680232234
51,61,23.99123754791309
52,21,46.47274160701762
53,70,36.41927777372398
54,24,76.64379905799609
55,28,91.20418921628111
56,0,94.76981257517193
57,98,80.13733650877307
58,22,24.158672835637585
59,1,50.140663266199034
60,31,61.90770947639531
61,46,99.84951358032397
62,64,15.480664390258159
63,41,88.19657771840849
64,85,83.19542801338467
65,81,11.810738764341334
66,100,52.723707632870784
67,61,48.97475959882463
68,45,26.2678076956652
69,56,89.43184147686908
70,20,44.87970493087274
71,78,87.3169601306292
72,35,33.000115263390285
73,65,64.0231547474648
74,56,70.46957894571642
75,27,73.40075990931736
76,66,25.494159779337988
77,87,0.36920658804827644
78,3,13.173181234315457
79,34,42.03228513775645
80,30,20.026848789512353
81,60,97.94775475471323
82,71,57.02041881139477
83,92,91.9934108379581
84,33,76.04342925489293
85,53,43.11755045386809
86,11,90.09615734571986
87,25,58.016356495714724
88,44,98.00123450791098
89,81,73.58353166657639
90,72,16.092383874291183
91,88,71.01313185350905
92,3,79.77312806094494
93,9,91.05102525314143
94,68,20.01690178298664
95,48,79.24096517137721
96,90,35.31691893111029
97,39,27.069701950269497
98,88,68.65760053814405
99,62,62.21084267730591
