id,release_time,position,completion_time,flow_time,individual_lower_bound,request_over_lower_bound,server
0,41,94.78653606090633,137.11986939423963,96.11986939423963,94.78653606090633,1.4466175798019612,S3
1,50,65.09344730398537,107.42678063731869,57.426780637318686,65.09344730398537,1.650347079263406,S3
2,9,82.12742919913083,124.46076253246414,115.46076253246414,82.12742919913083,1.5154591315733201,S3
3,12,36.56889169125856,57.56889169125854,45.56889169125854,36.56889169125856,1.5742585850645245,S3
4,7,90.97040631431022,133.30373964764354,126.30373964764354,90.97040631431022,1.4653528004158647,S3
5,27,3.749565844198488,30.416232510865157,3.4162325108651572,27,1.126527130032043,S1
6,55,41.81721513707595,62.817215137075934,7.817215137075934,55,1.1421311843104716,S3
7,30,9.071301334386506,30.09536533228016,0.09536533228015998,30,1.0031788444093386,S2
8,54,5.911050607898916,59.24438394123225,5.24438394123225,54,1.0971182211339305,S1
9,72,12.380196114964559,94.28647055170211,22.28647055170211,72,1.3095343132180848,S1
10,28,63.06259157317371,84.0625915731737,56.062591573173705,63.06259157317371,1.333002489687297,S3
11,74,94.77089424570056,137.10422757903387,63.104227579033875,94.77089424570056,1.4466912934638034,S3
12,73,58.554142264038674,79.55414226403866,6.55414226403866,73,1.0897827707402556,S3
13,6,97.62551055929201,139.95884389262534,133.95884389262534,97.62551055929201,1.4336298278063555,S3
14,5,55.66648979370926,76.66648979370925,71.66648979370925,55.66648979370926,1.377246707630075,S3
15,17,28.960928633167626,39.294261966500954,22.294261966500954,28.960928633167626,1.356802555063757,S3
16,18,54.06858855321425,75.06858855321424,57.06858855321424,54.06858855321425,1.388395565002253,S3
17,73,30.848182410193438,83.34818241019343,10.34818241019343,73,1.1417559234273074,S2
18,87,18.072637992393748,88.59402867427292,1.59402867427292,87,1.0183221686698036,S1
19,74,57.120439141179226,78.12043914117922,4.120439141179219,74,1.0556816100159354,S3
20,24,37.23975427257312,58.23975427257311,34.23975427257311,37.23975427257312,1.5639134954084908,S3
21,70,71.21107657461536,113.54440990794868,43.544409907948676,71.21107657461536,1.5944768057112044,S3
22,72,5.960116996623266,100.7065496700434,28.7065496700434,72,1.3987020787506028,S1
23,26,49.64144951134918,70.64144951134917,44.641449511349165,49.64144951134918,1.4230335779215895,S3
24,68,42.75923056694029,95.25923056694029,27.25923056694029,68,1.4008710377491218,S2
25,40,46.5601865839674,67.5601865839674,27.560186583967393,46.5601865839674,1.45102912038654,S3
26,58,36.158235594456634,88.65823559445663,30.658235594456627,58,1.5285902688699418,S2
27,31,79.43794815224912,121.77128148558245,90.77128148558245,79.43794815224912,1.5329107097806471,S3
28,89,77.98296305842437,120.31629639175769,31.31629639175769,89,1.3518684987837943,S3
29,10,57.442371025867104,78.44237102586709,68.44237102586709,57.442371025867104,1.3655837951142962,S3
30,67,49.511635955525556,70.51163595552555,3.5116359555255485,67,1.0524124769481424,S3
31,43,72.94452894392177,115.27786227725508,72.27786227725508,72.94452894392177,1.5803496704444866,S3
32,36,60.89590190364036,81.89590190364035,45.89590190364035,60.89590190364036,1.3448507919831731,S3
33,9,11.806577825496213,16.80657782549621,7.806577825496209,11.806577825496213,1.423492740563869,S3
34,53,16.49621036435732,62.67045630230935,9.670456302309347,53,1.182461439666214,S2
35,43,15.198453466050477,63.96821320061619,20.96821320061619,43,1.487632865130609,S2
36,62,42.16983544767443,63.169835447674416,1.1698354476744157,62,1.018868313672168,S3
37,85,7.762048218079554,98.90461844858712,13.904618448587115,85,1.163583746453966,S1
38,71,57.302594027738394,78.30259402773838,7.30259402773838,71,1.1028534370103997,S3
39,40,34.01223621911955,55.01223621911954,15.012236219119544,40,1.3753059054779886,S3
40,44,59.436987710501846,80.43698771050184,36.43698771050184,59.436987710501846,1.3533153480503441,S3
41,74,79.68919758215944,122.02253091549275,48.02253091549275,79.68919758215944,1.5312305132660888,S3
42,8,83.99677805125414,126.33011138458745,118.33011138458745,83.99677805125414,1.5039875851845397,S3
43,34,47.40983374196445,68.40983374196443,34.409833741964434,47.40983374196445,1.4429460798005709,S3
44,85,6.499997571609484,100.16666909505719,15.166669095057188,85,1.17843140111832,S1
45,93,70.14920213044239,112.4825354637757,19.482535463775704,93,1.2094896286427494,S3
46,82,57.79462307177181,91.20537692822818,9.205376928228176,82,1.112260694246685,S3
47,87,82.19247866097149,124.5258119943048,37.5258119943048,87,1.431331172348331,S3
48,36,71.66277943983036,113.99611277316367,77.99611277316367,71.66277943983036,1.5907297158195952,S3
